TARIFA,CARTERA,total_importe,consumo_promedio,cantidad_registros
BT5B,C,2650199554.5000386,101.16259211611536,26299433
MT3,M,369417223.5,16174.576553976533,37231
BT5B,COMÚN,85925557.8999999,95.22064510437826,838872
MT2,M,85705537.70000002,10916.991182531609,12972
MT4,M,71417731.7,8043.931488066486,14078
BT3,M,48048767.800000004,5710.579396809192,9308
BT4,M,21691049.899999995,5114.580748893107,4743
BT5D,C,15819602.799999991,3713.6561330839118,7484
BT6,C,12420554.600000026,687.0532005411022,51007
MT3,MAYOR,12329953.800000003,14538.756204379562,1370
BT2,M,5575042.800000001,5456.445767527673,1084
MT2,MAYOR,2957919.4,10252.772532188841,466
AT2,M,2921181.3,58465.99804938271,81
BT5E,C,2518730.7000000086,109.62670164360665,21538
MT4,MAYOR,2500439.1999999997,6954.3705035971225,556
BT5A,M,2494825.1999999993,2210.886193545751,1224
BT3,MAYOR,1495101.2999999998,4838.5669781931465,321
BT4,MAYOR,692244.1,4455.023121387283,173
BT5D,COMÚN,556760.4000000001,3617.1393442622953,244
BT6,COMÚN,397402.4999999999,682.3162445954292,1619
BT2,MAYOR,183928.10000000003,5142.815789473684,38
BT5E,COMÚN,108150.0,115.81377551020408,784
AT2,MAYOR,100251.0,46693.666666666664,3
BT5A,MAYOR,90017.0,2065.978260869565,46
BT5C,C,438.2,462.0,1
BT5B,MAYOR,25.9,27.0,1
