DEPARTAMENTO,total_importe,total_consumo,cantidad_registros
LA LIBERTAD,2045550795.6000767,2273012482.3154006,14363361
ANCASH,985043296.000002,1118316502.2247996,8421616
CAJAMARCA,359087390.20001066,388387198.3946998,4323072
HUANUCO,5149328.899999983,6069591.4915000005,174874
AMAZONAS,666507.6999999994,948354.9,20603
LAMBAYEQUE,29295.19999999999,30441.0,876
LIMA,17911.0,25671.2,35
PIURA,12929.8,12540.0,91
TUMBES,4701.4,4820.0,42
JUNIN,4574.2,4556.0,53
PASCO,904.4,971.0,30
HUANCAVELICA,183.1,173.0,15
AYACUCHO,173.8,133.0,9
